"filename", "language", "Markdown", "JavaScript", "JSON", "XML", "TypeScript", "comment", "blank", "total"
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\index.wxs", "XML", 0, 0, 0, 28, 0, 0, 10, 38
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\utils.d.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 1, 13
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\utils.js", "JavaScript", 0, 97, 0, 0, 0, 0, 1, 98
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\utils.wxs", "XML", 0, 0, 0, 20, 0, 0, 6, 26
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\card\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\card\index.js", "JavaScript", 0, 51, 0, 0, 0, 0, 1, 52
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\card\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell-group\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell-group\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 1, 14
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell-group\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell\index.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 41
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell\index.wxs", "XML", 0, 0, 0, 15, 0, 0, 3, 18
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox-group\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox-group\index.js", "JavaScript", 0, 39, 0, 0, 0, 0, 1, 40
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox-group\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox\index.js", "JavaScript", 0, 79, 0, 0, 0, 0, 1, 80
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox\index.wxs", "XML", 0, 0, 0, 16, 0, 0, 5, 21
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\canvas.d.ts", "TypeScript", 0, 0, 0, 0, 3, 1, 1, 5
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\canvas.js", "JavaScript", 0, 46, 0, 0, 0, 1, 1, 48
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\index.js", "JavaScript", 0, 201, 0, 0, 0, 2, 1, 204
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\col\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\col\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 12
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\col\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\col\index.wxs", "XML", 0, 0, 0, 15, 0, 0, 4, 19
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\animate.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 1, 3
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\animate.js", "JavaScript", 0, 43, 0, 0, 0, 0, 1, 44
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\index.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 63
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse\index.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 49
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\color.d.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 1, 8
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\color.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\component.d.ts", "TypeScript", 0, 0, 0, 0, 3, 1, 1, 5
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\component.js", "JavaScript", 0, 43, 0, 0, 0, 5, 1, 49
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\relation.d.ts", "TypeScript", 0, 0, 0, 0, 14, 1, 1, 16
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\relation.js", "JavaScript", 0, 64, 0, 0, 0, 1, 1, 66
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\utils.d.ts", "TypeScript", 0, 0, 0, 0, 12, 2, 1, 15
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\utils.js", "JavaScript", 0, 113, 0, 0, 0, 0, 1, 114
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\validator.d.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 1, 10
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\validator.js", "JavaScript", 0, 42, 0, 0, 0, 1, 1, 44
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\version.d.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 1, 8
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\version.js", "JavaScript", 0, 58, 0, 0, 0, 0, 1, 59
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\config-provider\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\config-provider\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 12
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\config-provider\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\config-provider\index.wxs", "XML", 0, 0, 0, 24, 0, 0, 6, 30
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\index.js", "JavaScript", 0, 101, 0, 0, 0, 3, 1, 105
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\utils.d.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 1, 11
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\utils.js", "JavaScript", 0, 64, 0, 0, 0, 0, 1, 65
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\datetime-picker\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\datetime-picker\index.js", "JavaScript", 0, 326, 0, 0, 0, 3, 1, 330
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\datetime-picker\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\definitions\index.d.ts", "TypeScript", 0, 0, 0, 0, 26, 1, 1, 28
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\definitions\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 3
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\dialog.d.ts", "TypeScript", 0, 0, 0, 0, 46, 4, 1, 51
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\dialog.js", "JavaScript", 0, 90, 0, 0, 0, 0, 1, 91
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\index.js", "JavaScript", 0, 127, 0, 0, 0, 0, 1, 128
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\index.json", "JSON", 0, 0, 9, 0, 0, 0, 1, 10
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\divider\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\divider\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 15
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\divider\index.json", "JSON", 0, 0, 4, 0, 0, 0, 1, 5
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\divider\index.wxs", "XML", 0, 0, 0, 16, 0, 0, 3, 19
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\index.js", "JavaScript", 0, 107, 0, 0, 0, 0, 1, 108
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\index.json", "JSON", 0, 0, 8, 0, 0, 0, 1, 9
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\shared.d.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 1, 6
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\shared.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 3
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-menu\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-menu\index.js", "JavaScript", 0, 117, 0, 0, 0, 0, 1, 118
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-menu\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-menu\index.wxs", "XML", 0, 0, 0, 14, 0, 0, 3, 17
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\empty\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\empty\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 13
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\empty\index.json", "JSON", 0, 0, 4, 0, 0, 0, 1, 5
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\empty\index.wxs", "XML", 0, 0, 0, 11, 0, 0, 5, 16
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\index.js", "JavaScript", 0, 122, 0, 0, 0, 0, 1, 123
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\index.json", "JSON", 0, 0, 7, 0, 0, 0, 1, 8
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\index.wxs", "XML", 0, 0, 0, 15, 0, 0, 4, 19
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\props.d.ts", "TypeScript", 0, 0, 0, 0, 3, 1, 1, 5
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\props.js", "JavaScript", 0, 67, 0, 0, 0, 0, 1, 68
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-button\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-button\index.js", "JavaScript", 0, 38, 0, 0, 0, 0, 1, 39
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-button\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-icon\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-icon\index.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 28
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-icon\index.json", "JSON", 0, 0, 7, 0, 0, 0, 1, 8
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action\index.js", "JavaScript", 0, 17, 0, 0, 0, 0, 1, 18
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid-item\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid-item\index.js", "JavaScript", 0, 54, 0, 0, 0, 0, 1, 55
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid-item\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid-item\index.wxs", "XML", 0, 0, 0, 28, 0, 0, 5, 33
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid\index.js", "JavaScript", 0, 57, 0, 0, 0, 0, 1, 58
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid\index.wxs", "XML", 0, 0, 0, 11, 0, 0, 3, 14
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\icon\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\icon\index.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 23
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\icon\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\icon\index.wxs", "XML", 0, 0, 0, 32, 0, 0, 8, 40
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\image\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\image\index.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 63
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\image\index.json", "JSON", 0, 0, 7, 0, 0, 0, 1, 8
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\image\index.wxs", "XML", 0, 0, 0, 28, 0, 0, 5, 33
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-anchor\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-anchor\index.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 29
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-anchor\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-bar\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-bar\index.js", "JavaScript", 0, 243, 0, 0, 0, 0, 1, 244
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-bar\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\info\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\info\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 11
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\info\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\loading\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\loading\index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 19
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\loading\index.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\loading\index.wxs", "XML", 0, 0, 0, 19, 0, 0, 4, 23
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\basic.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\basic.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 15
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\button.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\button.js", "JavaScript", 0, 44, 0, 0, 0, 0, 1, 45
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\link.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\link.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 28
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\page-scroll.d.ts", "TypeScript", 0, 0, 0, 0, 4, 1, 1, 6
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\page-scroll.js", "JavaScript", 0, 41, 0, 0, 0, 1, 1, 43
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\touch.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\touch.js", "JavaScript", 0, 39, 0, 0, 0, 1, 1, 41
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\transition.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\transition.js", "JavaScript", 0, 118, 0, 0, 0, 3, 1, 122
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\nav-bar\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\nav-bar\index.js", "JavaScript", 0, 72, 0, 0, 0, 0, 1, 73
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\nav-bar\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\nav-bar\index.wxs", "XML", 0, 0, 0, 11, 0, 0, 3, 14
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notice-bar\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notice-bar\index.js", "JavaScript", 0, 125, 0, 0, 0, 0, 1, 126
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notice-bar\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notice-bar\index.wxs", "XML", 0, 0, 0, 13, 0, 0, 3, 16
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\index.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\index.js", "JavaScript", 0, 68, 0, 0, 0, 0, 1, 69
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\index.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\index.wxs", "XML", 0, 0, 0, 19, 0, 0, 4, 23
"d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\notify.d.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 1, 21
