Date : 2022-09-09 16:18:27
Directory : d:\0_Projects\Link
Total : 383 files,  13345 codes, 473 comments, 976 blanks, all 14794 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| miniprogram_npm\@vant\weapp\radio                                                    |          4 |        103 |          0 |          9 |        112 |
| miniprogram_npm\@vant\weapp\radio-group                                              |          3 |         28 |          0 |          3 |         31 |
| miniprogram_npm\@vant\weapp\rate                                                     |          3 |        100 |          0 |          3 |        103 |
| miniprogram_npm\@vant\weapp\row                                                      |          4 |         45 |          0 |          7 |         52 |
| miniprogram_npm\@vant\weapp\search                                                   |          3 |         95 |          4 |          3 |        102 |
| miniprogram_npm\@vant\weapp\share-sheet                                              |          8 |        114 |          3 |         13 |        130 |
| miniprogram_npm\@vant\weapp\sidebar                                                  |          3 |         40 |          0 |          3 |         43 |
| miniprogram_npm\@vant\weapp\sidebar-item                                             |          3 |         39 |          0 |          3 |         42 |
| miniprogram_npm\@vant\weapp\skeleton                                                 |          3 |         53 |          0 |          3 |         56 |
| miniprogram_npm\@vant\weapp\slider                                                   |          4 |        203 |          2 |          6 |        211 |
| miniprogram_npm\@vant\weapp\stepper                                                  |          4 |        216 |          7 |          7 |        230 |
| miniprogram_npm\@vant\weapp\steps                                                    |          3 |         42 |          0 |          3 |         45 |
| miniprogram_npm\@vant\weapp\sticky                                                   |          4 |        150 |          0 |          7 |        157 |
| miniprogram_npm\@vant\weapp\submit-bar                                               |          3 |         66 |          0 |          3 |         69 |
| miniprogram_npm\@vant\weapp\swipe-cell                                               |          3 |        139 |          0 |          3 |        142 |
| miniprogram_npm\@vant\weapp\switch                                                   |          4 |         66 |          0 |          9 |         75 |
| miniprogram_npm\@vant\weapp\tab                                                      |          3 |         62 |          0 |          3 |         65 |
| miniprogram_npm\@vant\weapp\tabbar                                                   |          3 |         72 |          0 |          3 |         75 |
| miniprogram_npm\@vant\weapp\tabbar-item                                              |          3 |         66 |          0 |          3 |         69 |
| miniprogram_npm\@vant\weapp\tabs                                                     |          4 |        356 |          3 |         17 |        376 |
| miniprogram_npm\@vant\weapp\tag                                                      |          4 |         41 |          0 |          6 |         47 |
| miniprogram_npm\@vant\weapp\toast                                                    |          5 |        146 |          2 |          5 |        153 |
| miniprogram_npm\@vant\weapp\transition                                               |          4 |         34 |          0 |          6 |         40 |
| miniprogram_npm\@vant\weapp\tree-select                                              |          4 |         83 |          5 |          7 |         95 |
| miniprogram_npm\@vant\weapp\uploader                                                 |          8 |        376 |          2 |         10 |        388 |
| miniprogram_npm\@vant\weapp\wxs                                                      |          7 |        149 |          0 |         34 |        183 |
| pages                                                                                |         38 |      2,130 |        285 |        184 |      2,599 |
| pages\home                                                                           |          2 |        187 |          7 |          7 |        201 |
| pages\index                                                                          |          2 |        143 |         13 |          9 |        165 |
| pages\login                                                                          |          2 |        107 |         43 |         23 |        173 |
| pages\member                                                                         |          6 |        256 |         25 |         30 |        311 |
| pages\order                                                                          |          6 |        289 |         39 |         15 |        343 |
| pages\sport                                                                          |          8 |        660 |         63 |         65 |        788 |
| pages\store                                                                          |          2 |         24 |          1 |          4 |         29 |
| pages\user                                                                           |         10 |        464 |         94 |         31 |        589 |
| utils                                                                                |          4 |      1,876 |         59 |        265 |      2,200 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\0_Projects\Link\.eslintrc.js                                                      | JavaScript |         25 |          6 |          1 |         32 |
| d:\0_Projects\Link\app.js                                                            | JavaScript |         78 |         11 |          5 |         94 |
| d:\0_Projects\Link\app.json                                                          | JSON       |         74 |          0 |          0 |         74 |
| d:\0_Projects\Link\components\calendar\index.js                                      | JavaScript |        218 |         26 |          5 |        249 |
| d:\0_Projects\Link\components\calendar\index.json                                    | JSON       |          4 |          0 |          0 |          4 |
| d:\0_Projects\Link\images\home\24hour.svg                                            | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\home\arrow.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\home\avatar.svg                                            | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\home\equ.svg                                               | XML        |          4 |          0 |          1 |          5 |
| d:\0_Projects\Link\images\home\goin.svg                                              | XML        |          4 |          0 |          1 |          5 |
| d:\0_Projects\Link\images\home\logo.svg                                              | XML        |          9 |          0 |          1 |         10 |
| d:\0_Projects\Link\images\home\plan.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\home\scan.svg                                              | XML        |         16 |          0 |          1 |         17 |
| d:\0_Projects\Link\images\home\type.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\home\wepay.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\home\体质检测.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\home\意见反馈.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\home\扫一扫.svg                                               | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\home\训练计划.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\member\tipbg.svg                                           | XML        |          5 |          0 |          1 |          6 |
| d:\0_Projects\Link\images\tipbg.svg                                                  | XML        |          5 |          0 |          1 |          6 |
| d:\0_Projects\Link\images\user\arrow.svg                                             | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\user\coupon-icon.svg                                       | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\user\exchange-icon.svg                                     | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\user\fire.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\user\money-icon.svg                                        | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\user\order-icon.svg                                        | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\user\tree.svg                                              | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\user\user-icon.svg                                         | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\images\user\vip.svg                                               | XML        |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\action-sheet\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\action-sheet\index.js                 | JavaScript |         73 |          0 |          1 |         74 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\action-sheet\index.json               | JSON       |          8 |          0 |          1 |          9 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\area\index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\area\index.js                         | JavaScript |        232 |          3 |          1 |        236 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\area\index.json                       | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\area\index.wxs                        | XML        |          7 |          0 |          2 |          9 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\button\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\button\index.js                       | JavaScript |         67 |          0 |          1 |         68 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\button\index.json                     | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\button\index.wxs                      | XML        |         31 |          0 |          9 |         40 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\components\header\index.d.ts | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\components\header\index.js   | JavaScript |         45 |          0 |          1 |         46 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\components\header\index.json | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\components\month\index.d.ts  | TypeScript |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\components\month\index.js    | JavaScript |        157 |          1 |          1 |        159 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\components\month\index.json  | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\components\month\index.wxs   | XML        |         59 |          0 |         13 |         72 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\index.d.ts                   | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\index.js                     | JavaScript |        352 |          8 |          1 |        361 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\index.json                   | JSON       |         10 |          0 |          1 |         11 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\index.wxs                    | XML        |         28 |          0 |         10 |         38 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\utils.d.ts                   | TypeScript |         12 |          0 |          1 |         13 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\utils.js                     | JavaScript |         97 |          0 |          1 |         98 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\calendar\utils.wxs                    | XML        |         20 |          0 |          6 |         26 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\card\index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\card\index.js                         | JavaScript |         51 |          0 |          1 |         52 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\card\index.json                       | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell-group\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell-group\index.js                   | JavaScript |         13 |          0 |          1 |         14 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell-group\index.json                 | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell\index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell\index.js                         | JavaScript |         40 |          0 |          1 |         41 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell\index.json                       | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\cell\index.wxs                        | XML        |         15 |          0 |          3 |         18 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox-group\index.d.ts             | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox-group\index.js               | JavaScript |         39 |          0 |          1 |         40 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox-group\index.json             | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox\index.d.ts                   | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox\index.js                     | JavaScript |         79 |          0 |          1 |         80 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox\index.json                   | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\checkbox\index.wxs                    | XML        |         16 |          0 |          5 |         21 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\canvas.d.ts                    | TypeScript |          3 |          1 |          1 |          5 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\canvas.js                      | JavaScript |         46 |          1 |          1 |         48 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\index.js                       | JavaScript |        201 |          2 |          1 |        204 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\circle\index.json                     | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\col\index.d.ts                        | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\col\index.js                          | JavaScript |         11 |          0 |          1 |         12 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\col\index.json                        | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\col\index.wxs                         | XML        |         15 |          0 |          4 |         19 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\animate.d.ts            | TypeScript |          1 |          1 |          1 |          3 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\animate.js              | JavaScript |         43 |          0 |          1 |         44 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\index.js                | JavaScript |         62 |          0 |          1 |         63 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse-item\index.json              | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse\index.d.ts                   | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse\index.js                     | JavaScript |         48 |          0 |          1 |         49 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\collapse\index.json                   | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\color.d.ts                     | TypeScript |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\color.js                       | JavaScript |         10 |          0 |          1 |         11 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\component.d.ts                 | TypeScript |          3 |          1 |          1 |          5 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\component.js                   | JavaScript |         43 |          5 |          1 |         49 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\relation.d.ts                  | TypeScript |         14 |          1 |          1 |         16 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\relation.js                    | JavaScript |         64 |          1 |          1 |         66 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\utils.d.ts                     | TypeScript |         12 |          2 |          1 |         15 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\utils.js                       | JavaScript |        113 |          0 |          1 |        114 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\validator.d.ts                 | TypeScript |          9 |          0 |          1 |         10 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\validator.js                   | JavaScript |         42 |          1 |          1 |         44 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\version.d.ts                   | TypeScript |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\common\version.js                     | JavaScript |         58 |          0 |          1 |         59 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\config-provider\index.d.ts            | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\config-provider\index.js              | JavaScript |         11 |          0 |          1 |         12 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\config-provider\index.json            | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\config-provider\index.wxs             | XML        |         24 |          0 |          6 |         30 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\index.js                   | JavaScript |        101 |          3 |          1 |        105 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\index.json                 | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\utils.d.ts                 | TypeScript |         10 |          0 |          1 |         11 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\count-down\utils.js                   | JavaScript |         64 |          0 |          1 |         65 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\datetime-picker\index.d.ts            | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\datetime-picker\index.js              | JavaScript |        326 |          3 |          1 |        330 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\datetime-picker\index.json            | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\definitions\index.d.ts                | TypeScript |         26 |          1 |          1 |         28 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\definitions\index.js                  | JavaScript |          2 |          0 |          1 |          3 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\dialog.d.ts                    | TypeScript |         46 |          4 |          1 |         51 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\dialog.js                      | JavaScript |         90 |          0 |          1 |         91 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\index.js                       | JavaScript |        127 |          0 |          1 |        128 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dialog\index.json                     | JSON       |          9 |          0 |          1 |         10 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\divider\index.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\divider\index.js                      | JavaScript |         14 |          0 |          1 |         15 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\divider\index.json                    | JSON       |          4 |          0 |          1 |          5 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\divider\index.wxs                     | XML        |         16 |          0 |          3 |         19 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\index.js                | JavaScript |        107 |          0 |          1 |        108 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\index.json              | JSON       |          8 |          0 |          1 |          9 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\shared.d.ts             | TypeScript |          5 |          0 |          1 |          6 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-item\shared.js               | JavaScript |          2 |          0 |          1 |          3 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-menu\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-menu\index.js                | JavaScript |        117 |          0 |          1 |        118 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-menu\index.json              | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\dropdown-menu\index.wxs               | XML        |         14 |          0 |          3 |         17 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\empty\index.d.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\empty\index.js                        | JavaScript |         12 |          0 |          1 |         13 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\empty\index.json                      | JSON       |          4 |          0 |          1 |          5 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\empty\index.wxs                       | XML        |         11 |          0 |          5 |         16 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\index.d.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\index.js                        | JavaScript |        122 |          0 |          1 |        123 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\index.json                      | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\index.wxs                       | XML        |         15 |          0 |          4 |         19 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\props.d.ts                      | TypeScript |          3 |          1 |          1 |          5 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\field\props.js                        | JavaScript |         67 |          0 |          1 |         68 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-button\index.d.ts        | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-button\index.js          | JavaScript |         38 |          0 |          1 |         39 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-button\index.json        | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-icon\index.d.ts          | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-icon\index.js            | JavaScript |         27 |          0 |          1 |         28 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action-icon\index.json          | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action\index.js                 | JavaScript |         17 |          0 |          1 |         18 |
